fid,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
"27596",RGI2000-v7.0-G-01-27336,"01",01-06,G222883E58911N,"409224","624",2010-09-15T00:00:00,-137.121566915259,58.912813,"8",5.0401059680603,"0","0","2","9",Toyatte Glacier_abl,"1",-137.06893803197,58.8988624499042,240.99054,1811.7354,1182.8041,1169.0364,20.874273,118.311844,"4",COPDEM30,"5137"
"27597",RGI2000-v7.0-G-01-03166,"01",01-02,G206316E60752N,"393825","624",2010-09-12T00:00:00,-153.68827913193,60.7824435,"5",16.6698525860813,"0","0","0","9",Tourquise Glacier_abl,"1",-153.764269854991,60.7506259852732,920.1014,2264.8354,1606.8358,1578.9355,12.99107,299.811592102051,"8",COPDEM90,"11217"
"27598",RGI2000-v7.0-G-01-26887,"01",01-06,G222885E58933N,"409230","624",2010-09-15T00:00:00,-137.121734315375,58.9339895,"8",7.06401351788345,"0","0","2","9",Topeka Glacier_abl,"1",-137.056860882781,58.926800323798,224.1195,1920.5529,1154.9177,1062.0131,23.093647,73.48883,"3",COPDEM30,"6751"
"27599",RGI2000-v7.0-G-01-09679,"01",01-04,G214152E61305N,"401513","624",2009-09-06T00:00:00,-145.963302253731,61.303768,"6",40.8934755801797,"0","0","0","9",Tonsina Glacier_abl,"1",-145.696089999083,61.3241477658885,851.6495,2022.9849,1400.2397,1384.6022,8.407853,26.582603,"2",COPDEM90,"17741"
"27601",RGI2000-v7.0-G-01-03393,"01",01-02,G206771E60058N,"394866","624",2010-09-12T00:00:00,-153.278357744015,60.070022,"5",13.2774988663178,"0","0","0","9",Tongue Glacier_abl,"1",-153.297682433537,60.0753949553419,274.9072,1568.394,1093.1951,1051.0748,12.078252,267.738975524902,"7",COPDEM90,"9041"
"27603",RGI2000-v7.0-G-01-04294,"01",01-02,G209181E62791N,"397045","624",2010-09-12T00:00:00,-150.963471439583,62.826654,"5",204.341479227371,"0","0","3","9",Tokositna Glacier_abl,"1",-150.780936225382,62.675006097201,263.71353,4286.021,1471.6804,1484.6359,14.259276,74.628845,"3",COPDEM90,"43908"
"27605",RGI2000-v7.0-G-01-06393,"01",01-02,G209878E63369N,"397529","624",2010-09-12T00:00:00,-150.120918468491,63.3764205,"5",9.49621937858255,"0","0","2","9",Toklat3_abl,"1",-150.129652320193,63.409077076063,1242.2628,2629.2805,1673.1119,1711.1838,18.2195,1.2707714,"1",COPDEM30,"7959"
"27606",RGI2000-v7.0-G-01-06386,"01",01-02,G210314E63407N,"397783","624",2010-09-12T00:00:00,-149.668062092018,63.42878,"6",6.42207135750695,"0","0","0","9",Toklat1_abl,"1",-149.676301997507,63.4580571312929,1191.1992,2352.4575,1717.7302,1682.5933,15.238191,6.6048317,"1",COPDEM30,"6849"
"27607",RGI2000-v7.0-G-01-05424,"01",01-02,G215796E63139N,"403020","624",2009-08-04T00:00:00,-144.221008314512,63.14139,"6",3.54375709914875,"0","0","0","9",Tok Glacier_abl,"1",-144.165357648865,63.1325841183124,1376.7603,2207.225,1811.044,1807.8104,15.413569,105.69792,"3",COPDEM30,"4206"
"27609",RGI2000-v7.0-G-01-03611,"01",01-02,G206527E60726N,"394230","624",2010-09-12T00:00:00,-153.489371681335,60.774254,"5",31.7011055011915,"0","0","3","9",TlikakilaNorthFork_abl,"1",-153.397042161336,60.7284718843284,499.0912,2095.8147,1275.6101,1270.5988,13.935235,296.767356872559,"8",COPDEM90,"16118"
