rgi_id,subregion,area_km2,year,direction,glacier_melt_days,doy_me_start_50,doy_me_end_50,tbias_opt
RGI2000-v7.0-G-01-00228,Brooks,3.270673795455092,2023,Descending,102.65432098765432,162.0,243.0,0.5
RGI2000-v7.0-G-01-00228,Brooks,3.270673795455092,2024,Descending,83.29012345679013,164.0,231.0,0.5
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2017,Ascending,71.54771784232365,163.0,235.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2017,Descending,100.52765957446807,169.0,236.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2018,Descending,72.62553191489361,166.0,238.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2019,Ascending,50.74688796680498,191.0,236.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2019,Descending,63.034042553191476,182.0,236.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2020,Ascending,83.8091286307054,151.0,241.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2020,Descending,96.96595744680852,141.0,244.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2021,Ascending,69.76763485477179,159.0,225.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2021,Descending,76.53191489361703,180.0,257.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2022,Descending,87.57446808510637,154.0,253.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2023,Descending,86.12340425531914,156.0,246.0,2.9
RGI2000-v7.0-G-01-00230,Brooks,2.389216095709069,2024,Descending,59.81702127659574,160.0,210.0,2.9
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2017,Ascending,75.39970930232558,152.0,225.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2017,Descending,119.19999999999999,168.0,233.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2018,Descending,85.99407407407408,159.0,238.0,4.1
RGI2000-v7.0-G-01-00290,Brooks,6.856231600331389,2019,Ascending,49.39825581395349,186.0,226.0,4.1
