date,Aleutians_Ascending_frac_sl,Aleutians_Ascending_frac_sl_area,Aleutians_Descending_frac_sl,Aleutians_Descending_frac_sl_area,Brooks_Ascending_frac_sl,Brooks_Ascending_frac_sl_area,Brooks_Descending_frac_sl,Brooks_Descending_frac_sl_area,Coast_Ascending_frac_sl,Coast_Ascending_frac_sl_area,Coast_Descending_frac_sl,Coast_Descending_frac_sl_area,Cordova-Valdez_Ascending_frac_sl,Cordova-Valdez_Ascending_frac_sl_area,Cordova-Valdez_Descending_frac_sl,Cordova-Valdez_Descending_frac_sl_area,Eastern Alaska_Ascending_frac_sl,Eastern Alaska_Ascending_frac_sl_area,Eastern Alaska_Descending_frac_sl,Eastern Alaska_Descending_frac_sl_area,Kenai_Ascending_frac_sl,Kenai_Ascending_frac_sl_area,Kenai_Descending_frac_sl,Kenai_Descending_frac_sl_area,Lake Clark_Ascending_frac_sl,Lake Clark_Ascending_frac_sl_area,Lake Clark_Descending_frac_sl,Lake Clark_Descending_frac_sl_area,St. Elias_Ascending_frac_sl,St. Elias_Ascending_frac_sl_area,St. Elias_Descending_frac_sl,St. Elias_Descending_frac_sl_area,Western Alaska_Ascending_frac_sl,Western Alaska_Ascending_frac_sl_area,Western Alaska_Descending_frac_sl,Western Alaska_Descending_frac_sl_area,Western Chugach_Ascending_frac_sl,Western Chugach_Ascending_frac_sl_area,Western Chugach_Descending_frac_sl,Western Chugach_Descending_frac_sl_area,Wrangell_Ascending_frac_sl,Wrangell_Ascending_frac_sl_area,Wrangell_Descending_frac_sl,Wrangell_Descending_frac_sl_area,Talkeetna_Ascending_frac_sl,Talkeetna_Ascending_frac_sl_area,Talkeetna_Descending_frac_sl,Talkeetna_Descending_frac_sl_area,Alaska_Ascending_frac_sl,Alaska_Ascending_frac_sl_area,Alaska_Descending_frac_sl,Alaska_Descending_frac_sl_area
2017-01-11,9.351212852306944e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.723707004283412e-05,1.0,,,0.0008597716323169265,1.0,,,9.398637276575043e-05,1.0,,,1.570790830351449e-05,0.158052687373849,,,6.848881530668154e-05,1.0,,,4.456551409105849e-05,1.0,,,4.058688637701158e-05,0.3475024094403046,,,0.0,1.0,,,0.0001568677153624318,0.3840336569549687,,
2017-01-12,8.883652209691598e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.651885879104937e-05,1.0,,,0.0008254578765876859,1.0,,,9.971243329139487e-05,1.0,,,0.0005281784167056747,0.158052687373849,,,6.601629489849809e-05,1.0,,,4.270861767059772e-05,1.0,,,3.91776194889209e-05,0.3475024094403046,,,0.0,1.0,,,0.0002217803273566237,0.3840336569549687,,
2017-01-13,8.41609156707625e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.580064753926461e-05,1.0,,,0.0007911441208584453,1.0,,,0.0001054384938170393,1.0,,,0.001040648925107835,0.158052687373849,,,6.354377449031465e-05,1.0,,,4.085172125013695e-05,1.0,,,3.776835260083023e-05,0.3475024094403046,,,0.0,1.0,,,0.0002866929393508157,0.3840336569549687,,
2017-01-14,7.948530924460902e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.508243628747985e-05,1.0,,,0.0007568303651292048,1.0,,,0.0001111645543426838,1.0,,,0.001553119433509995,0.158052687373849,,,6.10712540821312e-05,1.0,,,3.899482482967618e-05,1.0,,,3.635908571273955e-05,0.3475024094403046,,,0.0,1.0,,,0.0003516055513450077,0.3840336569549687,,
2017-01-15,7.480970281845556e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.43642250356951e-05,1.0,,,0.0007225166093999642,1.0,,,0.0001168906148683283,1.0,,,0.002065589941912155,0.158052687373849,,,5.859873367394774e-05,1.0,,,3.713792840921541e-05,1.0,,,3.494981882464887e-05,0.3475024094403046,,,0.0,1.0,,,0.0004165181633391997,0.3840336569549687,,
2017-01-16,7.013409639230208e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.364601378391034e-05,1.0,,,0.0006882028536707237,1.0,,,0.0001226166753939727,1.0,,,0.002578060450314315,0.158052687373849,,,5.612621326576429e-05,1.0,,,3.528103198875463e-05,1.0,,,3.354055193655819e-05,0.3475024094403046,,,0.0,1.0,,,0.0004814307753333918,0.3840336569549687,,
2017-01-17,6.545848996614862e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.292780253212559e-05,1.0,,,0.000653889097941483,1.0,,,0.0001283427359196172,1.0,,,0.003090530958716475,0.158052687373849,,,5.365369285758085e-05,1.0,,,3.342413556829387e-05,1.0,,,3.21312850484675e-05,0.3475024094403046,,,0.0,1.0,,,0.0005463433873275838,0.3840336569549687,,
2017-01-18,6.078288353999514e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.220959128034083e-05,1.0,,,0.0006195753422122425,1.0,,,0.0001340687964452616,1.0,,,0.003603001467118636,0.158052687373849,,,5.11811724493974e-05,1.0,,,3.15672391478331e-05,1.0,,,3.072201816037682e-05,0.3475024094403046,,,0.0,1.0,,,0.0006112559993217757,0.3840336569549687,,
2017-01-19,5.610727711384166e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.149138002855608e-05,1.0,,,0.0005852615864830019,1.0,,,0.0001397948569709061,1.0,,,0.004115471975520796,0.158052687373849,,,4.870865204121395e-05,1.0,,,2.971034272737232e-05,1.0,,,2.931275127228615e-05,0.3475024094403046,,,0.0,1.0,,,0.0006761686113159677,0.3840336569549687,,
2017-01-20,5.14316706876882e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.077316877677132e-05,1.0,,,0.0005509478307537614,1.0,,,0.0001455209174965505,1.0,,,0.004627942483922956,0.158052687373849,,,4.62361316330305e-05,1.0,,,2.785344630691156e-05,1.0,,,2.790348438419547e-05,0.3475024094403046,,,0.0,1.0,,,0.0007410812233101596,0.3840336569549687,,
2017-01-21,4.675606426153472e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,1.005495752498657e-05,1.0,,,0.0005166340750245209,1.0,,,0.000151246978022195,1.0,,,0.005140412992325116,0.158052687373849,,,4.376361122484705e-05,1.0,,,2.599654988645079e-05,1.0,,,2.649421749610479e-05,0.3475024094403046,,,0.0,1.0,,,0.0008059938353043518,0.3840336569549687,,
2017-01-22,4.208045783538125e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,9.336746273201814e-06,1.0,,,0.0004823203192952802,1.0,,,0.0001569730385478395,1.0,,,0.005652883500727277,0.158052687373849,,,4.12910908166636e-05,1.0,,,2.413965346599002e-05,1.0,,,2.508495060801411e-05,0.3475024094403046,,,0.0,1.0,,,0.0008709064472985439,0.3840336569549687,,
2017-01-23,3.740485140922778e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,8.61853502141706e-06,1.0,,,0.0004480065635660397,1.0,,,0.0001626990990734839,1.0,,,0.006165354009129436,0.158052687373849,,,3.881857040848015e-05,1.0,,,2.228275704552924e-05,1.0,,,2.367568371992343e-05,0.3475024094403046,,,0.0,1.0,,,0.0009358190592927357,0.3840336569549687,,
2017-01-24,3.272924498307431e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,7.900323769632306e-06,1.0,,,0.0004136928078367991,1.0,,,0.0001684251595991284,1.0,,,0.006677824517531596,0.158052687373849,,,3.63460500002967e-05,1.0,,,2.042586062506848e-05,1.0,,,2.226641683183275e-05,0.3475024094403046,,,0.0,1.0,,,0.001000731671286928,0.3840336569549687,,
2017-01-25,2.805363855692084e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,7.18211251784755e-06,1.0,,,0.0003793790521075585,1.0,,,0.0001741512201247728,1.0,,,0.007190295025933756,0.158052687373849,,,3.387352959211325e-05,1.0,,,1.85689642046077e-05,1.0,,,2.085714994374206e-05,0.3475024094403046,,,0.0,1.0,,,0.00106564428328112,0.3840336569549687,,
2017-01-26,2.337803213076736e-06,1.0,,,0.0,0.9988042178497663,,,,,,,0.0,1.0,,,6.463901266062795e-06,1.0,,,0.000345065296378318,1.0,,,0.0001798772806504173,1.0,,,0.007702765534335917,0.158052687373849,,,3.140100918392981e-05,1.0,,,1.671206778414693e-05,1.0,,,1.944788305565139e-05,0.3475024094403046,,,0.0,1.0,,,0.001130556895275312,0.3840336569549687,,
